SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	May 11, 2024	May 10, 2024	May 09, 2024	May 08, 2024	May 07, 2024
Chinese yuan		0.1047910000	0.1049680000	0.1048650000	0.1048920000
Euro		0.8160910000	0.8139520000	0.8140250000	0.8147630000
Japanese yen		0.0048663800	0.0048758300	0.0048923400	0.0049126500
U.K. pound		0.9488130000	0.9450100000	0.9470060000	0.9492450000
U.S. dollar		0.7571120000	0.7584350000	0.7577260000	0.7567930000
Algerian dinar		0.0056370100	0.0056363800	0.0056325700	0.0056314700
Australian dollar		0.5004510000	0.4988230000	0.4985080000	0.4994830000
Botswana pula		0.0556477000		0.0555413000	0.0554729000
Brazilian real		0.1471320000	0.1470660000	0.1489210000	0.1495520000
Brunei dollar		0.5593320000	0.5597720000	0.5586710000	0.5597170000
Canadian dollar				0.5517150000	0.5522020000
Chilean peso		0.0008132330	0.0008096360	0.0008110180	0.0008136070
Czech koruna			0.0326363000		0.0325881000
Danish krone				0.1091200000	0.1092230000
Indian rupee		0.0090678000	0.0090833100	0.0090729700	0.0090632300
Israeli New Shekel			0.2027360000	0.2040740000	0.2033300000
Korean won		0.0005534850	0.0005558740	0.0005580540	0.0005543460
Kuwaiti dinar			2.4664600000	2.4641500000	2.4627200000
Malaysian ringgit		0.1597520000	0.1599400000	0.1596390000	0.1595770000
Mauritian rupee		0.0163252000	0.0163470000	0.0162189000	0.0163005000
Mexican peso		0.0451495000	0.0449683000	0.0448128000	0.0447587000
New Zealand dollar		0.4561600000	0.4555160000	0.4536130000	0.4550220000
Norwegian krone				0.0692373000	0.0696497000
Omani rial			1.9725200000	1.9706800000	1.9682500000
Peruvian sol				0.2037450000	0.2034390000
Philippine peso		0.0131940000	0.0132115000	0.0132363000	0.0132306000
Polish zloty		0.1899140000	0.1892490000	0.1884800000	0.1889340000
Qatari riyal			0.2083610000	0.2081660000	0.2079100000
Russian ruble				0.0082519500	0.0083051700
Saudi Arabian riyal			0.2022490000	0.2020600000	0.2018110000
Singapore dollar		0.5593320000	0.5597720000	0.5586710000	0.5597170000
South African rand			0.0409014000	0.0407610000	0.0409691000
Swedish krona		0.0698320000		0.0693791000	0.0697511000
Swiss franc		0.8349270000		0.8339490000	0.8340240000
Thai baht		0.0206163000	0.0205438000	0.0204924000	0.0205768000
Trinidadian dollar				0.1120550000	0.1121610000
U.A.E. dirham			0.2065170000	0.2063240000	0.2060700000
Uruguayan peso			0.0197063000	0.0197165000	0.0195994000

Currency units per SDR(3)

Currency	May 11, 2024	May 10, 2024	May 09, 2024	May 08, 2024	May 07, 2024
Chinese yuan		9.542800	9.526710	9.536070	9.533620
Euro		1.225350	1.228570	1.228460	1.227350
Japanese yen		205.492000	205.093000	204.401000	203.556000
U.K. pound		1.053950	1.058190	1.055960	1.053470
U.S. dollar		1.320810	1.318500	1.319740	1.321370
Algerian dinar		177.399000	177.419000	177.539000	177.574000
Australian dollar		1.998200	2.004720	2.005990	2.002070
Botswana pula		17.970200		18.004600	18.026800
Brazilian real		6.796620	6.799670	6.714970	6.686640
Brunei dollar		1.787850	1.786440	1.789960	1.786620
Canadian dollar				1.812530	1.810930
Chilean peso		1,229.660000	1,235.120000	1,233.020000	1,229.090000
Czech koruna			30.640700		30.686000
Danish krone				9.164220	9.155580
Indian rupee		110.280000	110.092000	110.217000	110.336000
Israeli New Shekel			4.932520	4.900180	4.918110
Korean won		1,806.730000	1,798.970000	1,791.940000	1,803.930000
Kuwaiti dinar			0.405439	0.405819	0.406055
Malaysian ringgit		6.259700	6.252340	6.264130	6.266570
Mauritian rupee		61.255000	61.173300	61.656500	61.347800
Mexican peso		22.148600	22.237900	22.315100	22.342000
New Zealand dollar		2.192210	2.195310	2.204520	2.197700
Norwegian krone				14.443100	14.357600
Omani rial			0.506966	0.507439	0.508066
Peruvian sol				4.908100	4.915480
Philippine peso		75.792000	75.691600	75.549800	75.582400
Polish zloty		5.265540	5.284040	5.305600	5.292850
Qatari riyal			4.799360	4.803860	4.809770
Russian ruble				121.183000	120.407000
Saudi Arabian riyal			4.944400	4.949030	4.955130
Singapore dollar		1.787850	1.786440	1.789960	1.786620
South African rand			24.449000	24.533300	24.408600
Swedish krona		14.320100		14.413600	14.336700
Swiss franc		1.197710		1.199110	1.199010
Thai baht		48.505300	48.676500	48.798600	48.598400
Trinidadian dollar				8.924190	8.915760
U.A.E. dirham			4.842220	4.846750	4.852720
Uruguayan peso			50.745200	50.718900	51.022000


(1) Exchange rates are published daily except on IMF holidays or, whenever the IMF is closed for business, or on an ad-hoc basis to facilitate unscheduled IMF operations.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
